continent,country,CountryCode,city,lat,lon,GDPpc_15,vehicle,Car_pc1000,pop,todo
Europe,Austria,AUT,Vienna,48.208174,16.373819,43775,682860,0.386,1765575,
Europe,Belarus,BLR,Minsk,53.90454,27.561524,5740,100000,,1959800,y
Europe,Belgium,BEL,Brussels,50.85034,4.35171,40324,509051,0.43,1183841,
Europe,Bulgaria,BGR,Sofia,42.697708,23.321868,6993,100000,,240877,y
Europe,Czech Republic,CZE,Prague,50.107557,14.268755,17548,948872,,,
Europe,United Kingdom,GBR,London,51.507351,-0.127758,43876,2000000,,,
Europe,France,FRA,Paris,48.856614,2.352222,36205,6000000,,,
Europe,Germany,DEU,Berlin,52.520007,13.404954,41313,1354881,,,
Europe,Greece,GRC,Athens,37.98381,23.727539,18002,7010565,,,
Europe,Hungary,HUN,Budapest,47.497912,19.040235,12363,100000,,,y
Europe,Italy,ITA,Rome,41.902783,12.496366,29957,3269466,,,
Europe,Poland,POL,Warsaw,52.229676,21.012229,12554,1200000,,,
Europe,Romania,ROU,Bucharest,44.426767,26.102538,8972,1240000,,,
Europe,Spain,ESP,Madrid,40.416775,-3.70379,25831,3327200,,,
Europe,Sweden,SWE,Stockholm,59.329323,18.068581,50579,887057,,,
Europe,Switzerland,CHE,Bern,46.947974,7.447447,80945,489626,0.489,1001281,
Europe,Ukraine,UKR,Kiev,50.4501,30.5234,2115,1300000,,,
Europe,Russian Federation,RUS,Khabarovsk,48.502731,135.06626,9092,100000,,,y
Europe,Russian Federation,RUS,Moscow,55.755826,37.6173,9092,4000000,,,
Europe,Russian Federation,RUS,Novosibirsk,55.008353,82.935733,9092,100000,,,y
Africa,Egyp,EGY,Cairo,30.04442,31.235712,3614,1950000,,9102232,
Africa,Nigeria,NGA,Lagos,6.524379,3.379206,2640,1200000,,9113605,
Africa,South Africa,ZAF,Johannesburg,-26.204103,28.047305,5724,100000,,,y
SouthAmerica,Argentina,ARG,BuenosAires,-34.603684,-58.381559,13431,2000000,,,
SouthAmerica,Brazil,BRA,RioDeJaneiro,-22.906847,-43.172896,8538,3220000,,,
SouthAmerica,Brazil,BRA,SaoPaulo,-23.55052,-46.633309,8538,7000000,,,
SouthAmerica,Chile,CHL,Santiago,-33.44889,-70.669265,13416,991838,,1089908,
SouthAmerica,Mexico,MEX,MexicoCity,19.432608,-99.133208,9005,100000,,,y
SouthAmerica,Peru,PER,Lima,-12.046374,-77.042793,6027,1397000,,913734,
NorthAmerica,United States,USA,LosAngeles,34.052234,-118.243685,56115,7533131,,,
NorthAmerica,United States,USA,NewYork,40.712784,-74.005941,56115,1980000,,,
NorthAmerica,United States,USA,WashingtonDC,38.907192,-77.036871,56115,100000,,,y
Asia,Afghanistan,AFG,Kabul,34.555349,69.207486,594,1200000,,4372977,
Asia,Azerbaijan,AZE,Baku,40.409262,49.867092,5496,100000,,,y
Asia,Bangladesh,BGD,Dhaka,23.810332,90.412518,1211,446930,,,
Asia,China,CHN,Beijing,39.904211,116.407395,8027,5755000,,,
Asia,China,CHN,Chongqing,29.56301,106.551556,8027,100000,,,y
Asia,China,HKG,HongKong,22.396428,114.109497,42327,504798,,,
Asia,China,CHN,Shanghai,31.230416,121.473701,8027,2870000,,,
Asia,China,CHN,Ulumuti,39.098052,117.186534,8027,100000,,,y
Asia,India,IND,Bangalore,12.971599,77.594563,1598,5500000,,,
Asia,India,IND,Kolkata,22.572646,88.363895,1598,4960000,,,
Asia,India,IND,Mumbai,19.075984,72.877656,1598,2500000,,,
Asia,India,IND,NewDelhi,28.613939,77.209021,1598,8827000,,,
Asia,Indonesia,IDN,Jakarta,-6.208763,106.845599,3346,1000000,,,
Asia,Iraq,IDN,Baghdad,33.312806,44.361488,4943,100000,,,y
Asia,Japan,JPN,Tokyo,35.709026,139.731992,32477,3140651,,,
Asia,Kazakhstan,KAZ,Almaty,43.222015,76.851248,10510,100000,,,y
Asia,Myanmar,MMR,Naypyidaw,19.763306,96.07851,1161,3699109,,,
Asia,Myanmar,MMR,Yangon,16.866069,96.195132,1161,600000,,,
Asia,Nepal,NPL,Kathmandu,27.717245,85.32396,743,571145,,,
Asia,North Korea,PRK,Pyongyang,39.039219,125.762524,,290000,,,
Asia,Pakistan,PAK,Islamabad,33.729388,73.093146,1434,700000,,,
Asia,Philippines,PHL,Manila,14.599512,120.984219,2904,2500000,,,
Asia,Singapore,SGP,Singapore,1.355379,103.867744,52887,956430,,,
Asia,South Korea,KOR,Busan,35.179554,129.075642,27221,100000,,,y
Asia,South Korea,KOR,Seoul,37.566535,126.977969,27221,3000000,,,
Asia,Thailand,THA,Bangkok,13.756331,100.501765,5814,7384934,,,
Asia,Vietnam,VNM,HoChiMinh,17.663007,106.252511,2111,7200000,,,
Oceania,Australia,AUS,Sydney,-33.867487,151.20699,56311,2000000,,,
