Continent,Country,city,lat,lon,GDP,vehicle
Asia,India,Bangalore,12.97,77.59,1598,5500000
Asia,India,Bangalore1_1,13.0452,77.5414,1598,5500000
Asia,India,Bangalore2_3,13.1222,77.6262,1598,5500000
Asia,India,Bangalore2_10,12.8010,77.6995,1598,5500000
Asia,India,Bangalore2_15,12.9551,77.4562,1598,5500000
Asia,India,Kolkata,22.57,88.36,1598,4960000
Asia,India,Kolkata1_8,22.54556,88.30642,1598,4960000
Asia,India,Mumbai,19.08,72.88,1598,2500000
Asia,India,Mumbai1_2,19.1266,72.8732,1598,2500000
Asia,India,Mumbai2_3,19.2112,72.8714,1598,2500000
Asia,India,NewDelhi,28.61,77.21,1598,8827000
Asia,India,NewDelhi1_5,28.5392,77.2919,1598,8827000
Asia,India,NewDelhi2_2,28.7956,77.1197,1598,8827000
Asia,India,NewDelhi2_15,28.6228,77.0525,1598,8827000
Asia,India,NewDelhi1_6,28.5433,77.2046,1598,8827000
Asia,India,Agra,27.1767,78.0081,0,0
Asia,India,Agra1_2,27.2981,78.0525,0,0
Asia,India,Agra2_10,27.0545,78.1321,0,0
Asia,India,Agra2_15,27.2238,78.8647,0,0
Asia,India,Ahmedabad,23.0325,72.5427,0,0
Asia,India,Ahmedabad1_5,22.9603,72.6255,0,0
Asia,India,Ahmedabad1_7,22.9590,72.4624,0,0
Asia,India,Ahmedabad2_11,22.8762,72.5427,0,0
Asia,India,Ahmedabad1_8,23.00405,72.4631,0,0
Asia,India,Allahabad,25.4609,81.8763,0,0
Asia,India,Allahabad1_6,25.3746,81.8798,0,0
Asia,India,Allahabad2_9,25.2919,81.0427,0,0
Asia,India,Allahabad2_12,25.2923,81.7930,0,0
Asia,India,Amritsar,31.5994,74.5652,0,0
Asia,India,Amritsar1_8,31.6261,74.7926,0,0
Asia,India,Amritsar1_3,31.7048,74.9592,0,0
Asia,India,Amritsar2_8,31.5446,74.0416,0,0
Asia,India,Chennai,13.0446,80.2100,0,0
Asia,India,Chennai1_3,13.1211,80.2939,0,0
Asia,India,Firozabad,27.1293,78.3792,0,0
Asia,India,Firozabad1_2,27.2047,78.3819,0,0
Asia,India,Firozabad1_4,27.1239,78.4606,0,0
Asia,India,Firozabad1_1,27.2067,78.2937,0,0
Asia,India,Firozabad2_8,27.0423,78.5444,0,0
Asia,India,Gwalior,26.2126,78.2085,0,0
Asia,India,Gwalior1_1,26.2921,78.1324,0,0
Asia,India,Gwalior2_15,26.2049,78.0411,0,0
Asia,India,Jodhpur,26.2940,73.0423,0,0
Asia,India,Jodhpur1_7,26.2054,72.9586,0,0
Asia,India,Jodhpur2_11,26.1256,73.0455,0,0
Asia,India,Kanpur,26.4615,80.2928,0,0
Asia,India,Kanpur1_7,26.3782,80.2134,0,0
Asia,India,Kanpur1_5,26.3760,80.3752,0,0
Asia,India,Kanpur2_9,26.2922,80.4550,0,0
Asia,India,Kanpur2_2,26.6220,80.2079,0,0
Asia,India,Lucknow,26.8722,80.9619,0,0
Asia,India,Lucknow1_4,26.8767,81.0405,0,0
Asia,India,Lucknow2_12,26.7109,80.8778,0,0
Asia,India,Lucknow2_15,26.8695,80.7920,0,0
Asia,India,Lucknow2_3,27.0443,80.9555,0,0
Asia,India,Ludhiana,30.8775,75.8748,0,0
Asia,India,Ludhiana1_1,30.9527,75.7930,0,0
Asia,India,Ludhiana1_4,30.8775,75.9567,0,0
Asia,India,Ludhiana2_8,30.7928,75.0448,0,0
Asia,India,Patna,25.6270,85.1287,0,0
Asia,India,Patna1_8,25.6227,85.0514,0,0
Asia,India,Patna1_4,25.6185,85.2121,0,0
Asia,India,Patna2_10,25.4592,85.2083,0,0
Asia,India,Patna2_11,25.4602,85.1291,0,0
Asia,India,Raipur,21.2136,81.6301,0,0
Asia,India,Raipur1_2,21.2922,81.6301,0,0
Asia,India,Raipur1_3,21.2922,81.7075,0,0
Asia,India,Raipur2_3,21.3780,81.6301,0,0
Asia,India,Raipur3_10,21.2074,81.8741,0,0
Asia,India,Hyderabad,17.3768,78.4659,0,0
Asia,India,Jaipur,26.8762,75.7930,0,0
Asia,India,Jaipur1_5,26.7871,75.8761,0,0
Asia,India,Jaipur2_15,26.8762,75.6240,0,0
Asia,India,Jaipur2_7,26.8762,75.7584,0,0
Asia,India,Dehradun,30.2934,78.0417,0,0
Asia,India,Dehradun1_1,30.3729,78.9644,0,0
Asia,India,Dehradun1_8,30.2923,77.9582,0,0
Asia,India,Dehradun2_16,30.3671,78.8691,0,0

